Level,Sex,Age,Pass,White
Y4,F,9.83333,Y,Y
Y3,F,10.16667,Y,Y
Y3,M,8.66667,Y,Y
Y3,M,7.08333,N,N
Y3,M,9,Y,Y
Y3,M,9.5,N,Y
Y3,M,8.08333,N,Y
Y4,F,10.5,N,Y
Y4,F,8.5,N,Y
Y4,F,8.91667,N,Y
Y4,M,10.66667,N,Y
P1,F,5.25,N,Y
P1,M,5,Y,Y
P1,F,3.33333,N,Y
P1,F,3.5,N,N
P1,M,4.25,Y,Y
P1,M,4.66667,Y,Y
P1,M,5.33333,N,N
P1,M,4.33333,N,N
Y3,F,10.25,Y,Y
Y3,M,12.5,Y,Y
Y3,M,9.66667,Y,Y
Y3,M,8.83333,Y,Y
Y4,F,8.41667,Y,N
Y4,F,10,Y,N
Y4,M,11.5,N,Y
Y5,F,15.58333,N,N
Y5,F,13,N,N
Y5,F,9.66667,N,Y
P2,F,4.66667,N,Y
P2,F,5.83333,N,Y
P2,F,3,N,Y
P2,M,5.08333,Y,N
Y3,F,9.58333,N,Y
Y3,M,6.33333,Y,Y
Y3,M,8,Y,Y
Y3,M,12.33333,N,N
Y3,M,8,Y,N
Y3,M,8.91667,N,N
P4,M,5.58333,N,N
P3,F,5.41667,Y,Y
P4,F,6.58333,N,N
Y4,F,11.08333,Y,Y
Y4,F,10.41667,Y,Y
Y4,M,12.25,N,Y
Y4,M,11.33333,Y,Y
Y4,F,10.25,Y,Y
Y4,M,9.58333,N,Y
Y4,F,12,Y,Y
P1,M,3.25,N,Y
P1,F,3.83333,N,Y
P1,M,4.33333,N,N
P1,F,5.66667,Y,N
P1,M,5.5,Y,Y
P1,M,4.83333,Y,Y
P1,F,4,Y,Y
Y4,F,10.83333,Y,Y
Y4,F,8.91667,N,Y
Y4,M,9.33333,N,N
Y4,M,12.25,N,N
Y4,M,12.33333,Y,Y
Y4,M,10.41667,Y,N
Y4,M,9.33333,Y,N
Y4,M,11,Y,Y
Y4,M,8.83333,Y,Y
Y3,M,8.91667,Y,Y
Y3,M,6.66667,N,Y
Y3,M,6.16667,N,Y
Y3,M,7.25,N,Y
Y4,M,9.83333,Y,N
Y4,F,9.91667,Y,N
Y4,M,10.08333,Y,Y
Y4,M,9.58333,Y,Y
Y5,F,11.08333,Y,Y
Y5,M,9,N,N
Y4,M,11.25,N,Y
Y4,M,9.83333,Y,Y
Y4,M,12.33333,Y,N
Y4,M,10.33333,Y,Y
Y4,M,11.41667,Y,Y
P1,F,5.33333,N,Y
P1,M,3,Y,Y
P1,F,3.5,Y,Y
P1,M,4.75,Y,Y
P1,F,5.58333,Y,Y
P2,M,4.91667,Y,Y
P2,M,4.25,N,Y
P2,M,4.08333,Y,Y
P3,F,5.75,Y,Y
P3,F,5.75,Y,N
Y4,M,8.91667,N,Y
Y5,M,12.41667,N,Y
Y5,M,10.08333,Y,Y
P2,F,5.41667,N,N
